msg,label
"Are the Serbs doing the work of God?  Hmm...

I've been wondering if anyone would ever ask the question,

Are the governments of the United States and Europe not moving
to end the ethnic cleansing by the Serbs because the targets are
muslims?

Can/Does God use those who are not following him to accomplish
tasks for him?  Esp those tasks that are punative?",soc.religion.christian
"

I believe that this is not quite correct. My understanding is that LDS is
engaged on a project to ""convert"" the souls of deceased persons of other
religions, in order to spare them from damnation and gain them entrance into
heaven. To this end, the Church has compiled extensive genaeological records, so
that they will know the names of people to convert. A long article in the New
Yorker a few years ago described the LDS research methods in some detail (for
example, some researchers pay visits to local native storytellers to learn the
names of people long dead). This sounds like just the sort of lie that would be
made up about any unusual religion, but the New Yorker story convinced me that
there is some truth to it (the New Yorker used to do extensive fact-checking, and
the story was quite detailed).",misc.forsale
"As it says, I'm interested in buying one of the little
label-makers, and I can't afford a new one.  Anybody
tired of theirs?

E-mail Maureen gt1706a@prism.gatech.edu

",comp.os.ms-windows.misc
"The following is a survey we are conducting for a term project in a philosophy
class. It is not meant to give us anything interesting statistically; we want
to hear what kind of voices there are out there. We are not asking for full-
blown essays, but please give us what you can.

As I do not read these groups often, please email all responses to me at
shimpei@leland.stanford.edu. As my mail account is not infinite, if you can
delete the questions and just have numbered answers when you write back
I would really appreciate it.

Since we would like to start analyzing the result as soon as possible, we
would like to have the answers by April 30. If you absolutely cannot make
it by then, though, we would still liken to hear your answer.

If anyone is interested in our final project please send a note to that effect
would like to have the answers by April 30. If you absolutely cannot make
it by then, though, we would still like to hear your answer.

If anyone is interested in our final project please send a note to that effect
(or better yet, include a note along with your survey response) and I'll try
to email it to you, probably in late May.

SURVEY:

Question 1)
Have you ever had trouble reconciling faith and reason? If so, what was the
trouble?
(For example: -Have you ever been unsure whether Creationism or Evolutionism
               holds more truth?
              -Do you practice tarot cards, palm readings, or divination that
               conflicts with your scientific knowledge of the world?
              -Does your religion require you to ignore physical realities that
               you have seen for yourself or makes logical sense to you?)
Basically, we would like to know if you ever _BELIEVED_ in something that your
_REASON_tells you is wrong.

Question 2)
If you have had conflict, how did/do you resolve the conflict?

Question 3)
If you haven't had trouble, why do you think you haven't? Is there a set of
guidelines you use for solving these problems?

Thank you very much for your time.




-- 
Shimpei Yamashita, Stanford University       email:shimpei@leland.stanford.edu
             ""There are three kinds of mathematicians: 
              those who can count and those who can't.""",soc.religion.christian
"
	Well tell us about your pool table!

-=- Andy -=-",comp.os.ms-windows.misc
Texas Instruments TI-81 calculalor. Excellent scientific calculator. ,comp.os.ms-windows.misc
"
I am not so sure of Jewish proselytism then, but I would like to relate
an account of a recent dinner I had with Jews a few months ago.

The dinner was instigated by the aunt of the hostess, whom I had met while
visiting my wife in Galveston last October.  The dear old aunt (now 
deceased) was very proud of her Jewish heritage, although not especially
devout.  Her parents were both murdered in Nazi concentration camps in
Austria during WWII because they were Jewish.  While conversing with her
about politics, world affairs and religion, she remarked that it would 
be a good idea for me to visit her niece on my return to Atlanta.

Within two days of returning to Atlanta, her niece called to invite
me over for dinner with her husband.  I went, not knowing really what to
expect, other than stimulating conversation and fellowship.  What I got,
however, was rather unexpected.  The thrust of the evening's discussion
was to condemn the Reagan-Bush policies prohibiting abortion counseling 
in federally funded family planning clinics, prohibiting the sterilization
of minorities on welfare here and in Puerto Rico, on
the ban on fetal tissue research, and against the Mexico City policy,
""which denies U.S. foreign aid to programs overseas that promote abortion.""

The crux of their position was to place the blame for the problems of
""overpopulation,"" rampant domestic crime, African starvation, unwed
mothers, etc., on Christianity, rather on the fall of Adam.  Now, this
is not what I had to come to talk about.  But every time I tried to 
bring up the subject of Judaism, they would condemn Jews for Jesus
and admonish me against converting to Judaism, ""because it involves
too much study and effort.""  And I did not even raise the prospect, nor
try to convert them to the truth of Christ!  There was certainly no
Jewish proselytism going on there.

And again, last November I toured a ""traditional"" Jewish synagogue and was
subjected to a 30-minute harangue against Jesus and Christianity in
general.  I realize that these are two isolated incidents, and that the
best supervisor I ever had at work is Jewish, but from my experience,
the modern Jew is not known for his proselytism.

 
-- 
boundary",soc.religion.christian
"North heavy Duty hi hat stand $45  
	older stand... but definately in working shape.. could
	use a little clean up.  comes with clutch and felts, etc..

Pearl bass drum pedal with felt beater $20 

honer cymbal stand $15 (needs some work on cymbal stem)

Zildjian 20"" Ride cymbal  $55 
	main line zildjian... older ride cymbal

Ludwig snare stand $10
	okay snare stand.. NOT like a remo though ;) 



shipping extra.. please email
",comp.os.ms-windows.misc
"
Comparing the GTZ and GSR is apples to oranges, somewhat like a Mustang 5.0
and a CRX, both have very different ways of doing things and ought to
appeal to different buyers, i.e., I don't think an Acura owner would
be seen dead in a Chevy dealership or vice versa.

[stuff deleted]


No Integra I have seen comes with all-season tires. 
The GTZ does come with much bigger 16"" wheels.


The C+D figures are almost certainly bogus and based on a hot prototype
supplied by Acura. The MT figures are more plausible.

16.1 sounds reasonable, probably faster than regular Integras.


The GSR gearing is horrible for day to day driving. It needs a 6 speed
box more than any other modern car. Essentially 5th in a regualr Integra
equals 4th in the GSR, and the regular Integras are very buzzy at speed.


The only person I knew with a GTZ had it bought back by GM as a lemon. It
was a piecve of junk, but very quick for FWD.


The only GSR owner I know had the engine throw a rod with less than 5k
miles, a rare screw up by Honda.
Both the GTZ and GSR are flawed cars. The performance enthusiasts would take
the GTZ and the CR purchase would be the GSR.
",talk.politics.guns
,soc.religion.christian
"Hi Folks,

I recently bought a 1981 Mercury Capri (my first car ever!).
I have noticed a few problems with the car :

	1. It gives very low gas mileage (something like
           11 miles / gallon ; I hear other car owners speak of
           gas-mileage figures like 25 miles/gallon (wow!) etc.).

	2. When I start the car, it goes into high idling (something
           like 1500 (or is it 15000 ?) rpm. After driving 4 or 5 miles, 
           it comes down to 300 (or 3000?) rpm. 

I would like to know if there is any way by which I can fix these
problems. Or is it natural for an old car like this ? (it has
done about 117,000 miles). Someone suggested that I change/rebuild/
recondition the carburettor. I am not prepared to do it
unless I am sure it will fix the problem. And yes, I got the
car tuned-up recently (within the last 200 miles or so).

Please let me know if you have any suggestions. Please respond
by email since I don't scan this newsgroup regularly.

Thanks.

Regards,

--Sudhi.

-- 
Sira Gopinath Sudhindranath. email : sudhi@ucs.usl.edu.",talk.politics.guns
"
CCW's are issued at the discretion of the police chief, so it varies
town by town.

In my town, forget about anything more than ""target and sport"" (carry to
and from the gun club / hunting area only) unless you're Mr. Moneybags
with Large Daily Deposits.  (""Your life isn't worth shit, but your money --
now, that's important."")  In other towns, they treat law abiding citizens
like adults.  

Secret game hint: you never know when the rules will be changed -- a change 
in police chief can throw a town from either side of the board to the other
-- fun for the whole family!

Some chiefs will grant you a ""personal protection"" permit if you have been
attacked or threatened.  Some other blue-suited assholes have been known to 
count this as a NEGATIVE against applicants.

It's a crap shoot, and your rights are the stakes.
-- ",misc.forsale
"==========================================================================
  Yes, we do have a beautiful country. And I enjoy it.  Most of all, I
  enjoy the thought that I have the means and can exercise my rights
  to defend me and mine. 
 
  And I want to thank all of you good folks, like Prescod, who remind me
  of what I have.  Along this line, I watched a documentary on one of the
  Nazi concentration camps.  Stacks and stacks of bodies.  There were scenes
  of Hitler speechifying, and what struck me, was the reverence and adoration
  on the faces of the people in the crowds.  I guess they were happy that
  Hitler had implemented full gun control and was taking care of the Jewish
  problem all at the same time.",misc.forsale
"-> > But, do you knew how much organization is required to training a large
-> > group of poeple twice a year.  Just to try to get the same people
-> > every year, provide a basic training to new people so they can
-> > be integrated into the force, and find a suitable location, it 
-> > requires a continually standing committee of organizers.  
-> 
-> Again, my response is, ""so what?""  Is Mr. Rutledge arguing that since
-> the local and federal governments have abandoned their charter to support
-> such activity, and passed laws prohibiting private organizations from 
-> doing so, that they have eliminated the basis for the RKBA?   On the
-> contrary, to anyone who understands the game, they have strengthened it.

No, I originally argued that the Second Amendment was ""a little bit
and an anachronism.""  These prohibiting laws are examples why the are
an anachronism.  After all, laws in made by representatives of the 
people.  These representatives of the people have already decided
that the Second Amendment does not apply or is too broad in some
cases.  Since these representatives feel an unconditional 
interpretation is not wanted, then it is probable that they majority
of the people feel the same way.  If this is so, it is an example
of the people using their power of government.  If this is not
how the people feel, the people should stand up and state their wishes.
 
-> RKBA is dependent on the existence of a top-flight, well-regulated
-> militia.  Why this is a false assumption has already been posted a 
-> number of times.  

No, I simple stated that the people have a right to ""join a well
organized militia.""  And I have also stated that a militia that
meets once or twice a year is clearly ""well organized.""  And this
state of readiness that I have claimed the people have a ""right""
to, is the same state of readiness expected of the militia as stated
by Hamilton. 

",misc.forsale
"BOAT For SALE
1989 23' IMPERIAL FISHERMAN featuring
        Walkaround Cuddy Cabin, 305 V8 with VOLVO DUO PROP OUTDRIVE /\/\/\/
AM-FM Cassette Stereo, VHF RADIO, 4x6 HUMMINGBIRD Fishfinder, ALL  Safty
equipment, Covers, and MUCH MORE.  
        18000 LB.  Capacity
        includes Storage Trailer
        Hardly used:  LESS Than 100 Hrs",comp.os.ms-windows.misc
"	I think I have updated info on this.  My understandingis that
former officer Cranston approached a teenager who was being questioned
by another officer.   Officer Cranston struck Teenager A in the head
with a heavy police flashlight, causing a significant, though not
life-threatening.  THere is no evidence that Teenager A was
doing anything threatening at the time.  Teenager A was released
on bail/recognizance and filed a formal complaint against Officer
Cranston.  The Police Chief suspended Cranston pending an 
investigation into the use of excessive force.  
	The above is pretty clear... but what seems to have 
happened is this.  The Chief requested Cranston's gun, but Cranston
refused to turn it over until the Chief went the Cranston's home
 to get it.  Sources said Cranston had always wanted to be
a cop and was very afraid of loosing his job because of the complaint
against him.
	A few days afterward, Cranston allegedly walked into 
Wilson's Garage, where Teenager A and friends were known to
hang out and work on cars as a hobby.  Cranston fatally shot
Teenager A as well as TEenagers B and C.  Teenager D was shot once
in the shoulder/chest.  Teenager E was working under the car
and was not noticed by Officer Cranston.  Teenager D went to a home
and summoned police, who went to Wilson's Garage and found the 
3 corpses and one unscathed survivor.",misc.forsale
"Give out the address, I'll drive by and take a look myself, then post.

",talk.politics.guns
,misc.forsale
"Path: nntpd2.cxo.dec.com!pa.dec.com!decwrl!ames!saimiri.primate.wisc.edu!zaphod.mps.ohio-state.edu!howland.reston.ans.net!usenet.ins.cwru.edu!news.ysu.edu!psuvm!cunyvm!jcehc
Organization: City University of New York
Date: Wednesday, 21 Apr 1993 14:17:47 EDT
From: <JCEHC@CUNYVM.BITNET>
Message-ID: <93111.141747JCEHC@CUNYVM.BITNET>
Newsgroups: talk.politics.guns
Subject: Should Anybody be Permitted to Own a .50 BMG rifle?
Lines: 26

   For the moment, forget about BATF incompetence or FBI hubris.  Did
anybody catch Rep. Charles Shumer on the news last night holding up
a .50 BMG cartridge and rhetorically asking if anybody should be allowed
to own one of these.  (I presume he meant the rifle for which it is chambered
and not the cartridge which you can get for a buck.)

  So what's your guess for the upcoming anti-gun agenda:

1.   A ban on heavy caliber rifles. (read .50 BMG)

2.   A ban on ""sniper rifles""

3. A ban on ""stockpiling"" guns and ammunition.


BTW: Shumer is perhaps the most misinformed congressman I have seen on
     the news. I wonder how he finds the floor in the morning.
-------
MICHAEL F. GORDON
JCEHC@CUNYVM.CUNY.EDU

""Vote as you shot.""  (19th Cent Republican campaign slogan )


Shumer is not mis-informed, he knows full well what he is doing.

If you look at his other votes, and positions as an agent of redistribution
of wealth & property in this country, to him guns and personal freedom 
are incompatible with his obvious world-view. They are a threat to the
'order' he would impose.

	R

--
------------------------------------------------------------------------------
""It [collectivism vs individualism] is an ancient conflict. Men have come
close to the truth, but it was destroyed each time and one civilization fell
after another. Civilization is the progress toward a society of privacy. The
savage's whole existence is public, ruled by the laws of his tribe.
Civilization is the process of setting man free from men.""
    -- Ayn Rand : 'Roark's speech from the _Fountainhead_'
------------------------------------------------------------------------------
I don't speak for my company. We hire the 'Politically Correct' to do that.",misc.forsale
"
: 	These games are forsale (or trade):

: 			* Sonic Hedgehog II (two copies)
: 			  + manuals and cases ..
: 			$25 each..
: 			(brand new!)_

Hello, I am interested in Sonic II but when I send to the address below
I get mail bounced back with ""Host unknow"" error.


: 	Please reply to : kwill@lunatix.UUCP 
: 		(subject: games)

--",comp.os.ms-windows.misc
"

Look, I don't want to bore everybody here with the physics of woodstoves,
but they're not anything like your Caloric gas range.  It takes about
three hours for a woodstove to get hot enough to cook on, and afterwards 
you can't just ""shut it off"" -- it will contain hot embers for over 24 
hours even after you choke it COMPLETELY.

So it ain't exactly ""light up the stove and cook me a batch of them 
pancakes, Aunt J...""  If you use a woodstove for cooking, or even for
heating your house at night, you will have it lit to SOME extent all 
the time.  Trust me on this one, I speak from experience.
-- ",misc.forsale
